"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"용산구","0~4세","등록외국인","","498","403","734","776","725","707","685","696","599","559","521","537","498",
"용산구","5~9세","계","","6221","6093","9094","8919","8802","8562","8333","8133","7981","7664","7252","6736","6221",
"용산구","5~9세","한국인","","5518","5423","8380","8171","8057","7765","7552","7324","7198","6848","6475","6021","5518",
"용산구","5~9세","등록외국인","","703","670","714","748","745","797","781","809","783","816","777","715","703",
"용산구","10~14세","계","","6820","6836","9744","9078","8604","8426","8097","7889","7775","7601","7421","7034","6820",
"용산구","10~14세","한국인","","6154","6144","9238","8548","8026","7864","7532","7307","7192","6951","6704","6394","6154",
"용산구","10~14세","등록외국인","","666","692","506","530","578","562","565","582","583","650","717","640","666",
"용산구","15~19세","계","","7293","7242","12054","11644","11212","10651","10161","9626","8851","8218","8056","7757","7293",
"용산구","15~19세","한국인","","6762","6696","11711","11296","10789","10144","9617","9084","8417","7741","7537","7226","6762",
"용산구","15~19세","등록외국인","","531","546","343","348","423","507","544","542","434","477","519","531","531",
"용산구","20~24세","계","","11504","11192","15322","15443","15281","15042","15347","15253","14684","14147","13547","12618","11504",
"용산구","20~24세","한국인","","10635","10483","14560","14724","14317","13997","13886","13682","13757","13290","12560","11634","10635",
"용산구","20~24세","등록외국인","","869","709","762","719","964","1045","1461","1571","927","857","987","984","869",
"용산구","25~29세","계","","18342","18154","18528","18361","18467","19675","20399","21037","21248","20868","20648","19875","18342",
"용산구","25~29세","한국인","","17140","17099","16930","16727","16972","17996","18629","19155","19728","19488","19243","18469","17140",
"용산구","25~29세","등록외국인","","1202","1055","1598","1634","1495","1679","1770","1882","1520","1380","1405","1406","1202",
"용산구","30~34세","계","","22145","21997","23628","22198","21088","20632","20700","20748","20950","21403","22474","22423","22145",
"용산구","30~34세","한국인","","20582","20491","21629","20171","19032","18542","18468","18588","19058","19678","20719","20723","20582",
"용산구","30~34세","등록외국인","","1563","1506","1999","2027","2056","2090","2232","2160","1892","1725","1755","1700","1563",
