district_code,district,year,private_name
11200,성동구,2023,바디텍쳐
11200,성동구,2023,셀바디
11200,성동구,2023,스튜디오에이
11200,성동구,2023,짐타임 성수역점
11200,성동구,2023,케이큐 라인 PT
11200,성동구,2023,팰리스짐 프리미엄 한남
11200,성동구,2023,휴펫필라테스 앤피티 왕십리점
11200,성동구,2024,HUTZ
11200,성동구,2024,가미핏
11200,성동구,2024,더블와이짐 헬스&PT 신금호점
11200,성동구,2024,리커버리PT
11200,성동구,2024,성수PT
11200,성동구,2024,쓰리짐S
11200,성동구,2024,업타운휘트니스 왕십리점
11200,성동구,2024,에프엠(FM)피트니스
11200,성동구,2024,주식회사 소마피지오
11200,성동구,2024,키스짐
11200,성동구,2024,퍼먼츠 트레이닝 센터
11200,성동구,2024,피트니스 비긴즈(Fitness Begins)
11200,성동구,2024,하이퍼짐(HYPER GYM)
11200,성동구,2025,크로스핏 성수
11215,광진구,1989,서울헬스
11215,광진구,1989,유진헬스클럽
11215,광진구,1990,동부육체미
11215,광진구,1993,역발산센터
11215,광진구,1994,광운헬스
11215,광진구,1994,휘트니스피플우먼 구의점
11215,광진구,1995,삼성남녀헬스센타
11215,광진구,1996,멜론짐
11215,광진구,1996,역사헬스
11215,광진구,1996,영광헬스피아
11215,광진구,1996,파워헬스
11215,광진구,1996,휘트니스헬스타운
11215,광진구,1997,A.s휘트니스여성헬스
11215,광진구,1997,군자휘트니스 크럽
11215,광진구,1997,나우휘트니스
11215,광진구,1999,머슬 H 휘트니스
11215,광진구,1999,메트로헬스
11215,광진구,1999,상록헬스크리닉
11215,광진구,1999,순수여성헬스
11215,광진구,1999,스포츠클리닉밸런스
11215,광진구,1999,용곡체육관
11215,광진구,2000,세종 남여헬스(무단폐업)
11215,광진구,2000,스타일휘트니스클럽(무단폐업)
11215,광진구,2000,시티짐 군자
11215,광진구,2000,화인헬스
11215,광진구,2001,동방헬스
11215,광진구,2001,바디메이트 짐
11215,광진구,2001,파워존
11215,광진구,2002,테크노휘트니스클럽
11215,광진구,2003,비스코헬스케어
11215,광진구,2003,아차산헬스클럽
11215,광진구,2003,월드스포츠센터
11215,광진구,2003,파나마 헬스클럽
11215,광진구,2003,프라임헬스클럽
11215,광진구,2004,리버사이드 스포츠
11215,광진구,2004,바디앤소울
11215,광진구,2004,웨스트짐 헬스&PT
11215,광진구,2004,코엑스짐 군자역점
11215,광진구,2005,JM휘트니스
11215,광진구,2005,광명 휘트니스
11215,광진구,2005,광진문화예술회관
11215,광진구,2005,드림헬스클럽
11215,광진구,2005,서울특별시 동부여성발전센터
11215,광진구,2006,휴먼짐
11215,광진구,2007,머슬킹
11215,광진구,2007,샤인휘트니스 어린이대공원역점
11215,광진구,2007,아름다운휘트니스
11215,광진구,2007,타운케이 휘트니스
11215,광진구,2007,휘트니스 트리
11215,광진구,2008,SAP
11215,광진구,2008,맥스토탈휘트니스
11215,광진구,2008,시너지휘트니스
11215,광진구,2008,이루어짐 구의점
11215,광진구,2009,건국AMC The Classic 500
11215,광진구,2009,라이크핏
11215,광진구,2009,슈퍼짐 프리미엄 휘트니스
11215,광진구,2009,커브스구의클럽
11215,광진구,2009,휘트니스파크
11215,광진구,2010,원모어 퍼스널트레이닝 스튜디오
11215,광진구,2010,웰플러스
11215,광진구,2010,초콜렛 휘트니스(무단폐업)
11215,광진구,2010,코엑스짐 중곡점
11215,광진구,2011,웨스트짐 헬스&PT 강변역점
11215,광진구,2011,초콜릿 휘트니스
11215,광진구,2012,세븐짐 휘트니스
11215,광진구,2012,아크로짐 구의점
11215,광진구,2012,핏퍼스트
11215,광진구,2013,비터스윗코리아
11215,광진구,2013,엠엔엠 피트니스골프
11215,광진구,2013,이지피티스튜디오
11215,광진구,2013,제이 퍼스널 트레이닝 스튜디오
11215,광진구,2013,크로스핏 라온
11215,광진구,2014,맥 클라우드
11215,광진구,2014,시티짐 군자 필라테스&헬스
11215,광진구,2014,휘트니스 캐리스타
11215,광진구,2014,휘트니스 타운케이
11215,광진구,2015,2MR 휘트니스
11215,광진구,2015,BODY119(바디119)
11215,광진구,2015,Choi.s Body Balance
11215,광진구,2015,NX PT STUDIO
11215,광진구,2015,노경우 퍼스널 트레이닝
11215,광진구,2015,워라밸피트니스 자양점
11215,광진구,2015,휘트니스 에이치투(폐업)
11215,광진구,2015,휘트니스베이 24시 건대점
11215,광진구,2016,몸가짐 PT&필라테스
11215,광진구,2016,제이바디웍스
11215,광진구,2017,더케이짐
11215,광진구,2017,드바디샵
11215,광진구,2017,원모어핏
11215,광진구,2017,크로스핏 팀앤디
11215,광진구,2017,휘트니스우먼
11215,광진구,2018,Youn-A PT샵
11215,광진구,2018,바디케어짐
11215,광진구,2018,앨리스 핏
11215,광진구,2018,조승호 아톰 휘트니스 PT
11215,광진구,2018,주식회사 헬스보이컴퍼니
11215,광진구,2018,지니 짐
11215,광진구,2018,짐 퍼스트 광장점
11215,광진구,2018,커브스 자양클럽
11215,광진구,2019,더블핏(Double Fit)
11215,광진구,2019,르와짐
11215,광진구,2019,브라운 휘트니스
11215,광진구,2019,삼손스포츠수기명가
11215,광진구,2019,스포니스 군자점 PT&헬스
11215,광진구,2019,스포츠컨디셔닝센터 FMETS & D.FLAB
11215,광진구,2019,에프에이스포츠
11215,광진구,2019,크로스핏 라온2
11215,광진구,2019,토니바디&PT 중곡점
11215,광진구,2019,퍼스트 핏(FIRST FIT)
11215,광진구,2020,구의역점 스포애니 주)케이디스포츠
